,RCP0,RCP4.5,RCP8.5,RCP4.5 Defence,RCP8.5 Defence,RCP4.5 Bonds,RCP4.5 Rates,RCP8.5 Bonds,RCP8.5 Rates,sum,rank
2043,0.0,3.0,10.0,3.0,10.0,6.0,3.0,5.0,5.0,45.0,93.0
2043.25,0.0,3.0,9.0,3.0,10.0,6.0,2.0,5.0,5.0,43.0,90.0
2043.5,0.0,3.0,9.0,3.0,10.0,4.0,2.0,5.0,2.0,38.0,80.0
2043.75,0.0,2.0,12.0,2.0,10.0,6.0,2.0,5.0,2.0,41.0,84.0
2044,0.0,4.0,12.0,2.0,10.0,6.0,2.0,7.0,1.0,44.0,92.0
2044.25,0.0,4.0,12.0,2.0,11.0,6.0,2.0,7.0,1.0,45.0,95.0
2044.5,0.0,4.0,12.0,2.0,11.0,7.0,2.0,7.0,1.0,46.0,97.0
2044.75,0.0,7.0,12.0,5.0,11.0,7.0,2.0,7.0,4.0,55.0,100.0
2045,0.0,7.0,11.0,5.0,10.0,7.0,2.0,7.0,4.0,53.0,99.0
2045.25,0.0,8.0,11.0,6.0,10.0,8.0,2.0,7.0,4.0,56.0,102.0
2045.5,0.0,8.0,11.0,6.0,12.0,8.0,4.0,7.0,4.0,60.0,106.0
2045.75,0.0,8.0,11.0,6.0,14.0,8.0,4.0,7.0,4.0,62.0,111.0
2046,0.0,8.0,11.0,6.0,14.0,8.0,4.0,8.0,4.0,63.0,113.0
2046.25,0.0,10.0,12.0,8.0,16.0,10.0,6.0,9.0,6.0,77.0,120.0
2046.5,0.0,9.0,12.0,7.0,15.0,9.0,5.0,8.0,3.0,68.0,119.0
2046.75,1.0,9.0,13.0,7.0,15.0,9.0,0.0,8.0,3.0,65.0,115.0
2047,1.0,9.0,12.0,7.0,15.0,9.0,0.0,7.0,4.0,64.0,114.0
2047.25,1.0,9.0,13.0,7.0,15.0,9.0,0.0,7.0,4.0,65.0,117.0
2047.5,1.0,8.0,14.0,8.0,16.0,10.0,1.0,8.0,0.0,66.0,118.0
2047.75,1.0,9.0,13.0,8.0,16.0,9.0,1.0,8.0,0.0,65.0,116.0
2048,1.0,9.0,13.0,8.0,16.0,9.0,1.0,6.0,0.0,63.0,112.0
2048.25,1.0,9.0,13.0,8.0,16.0,8.0,1.0,6.0,0.0,62.0,107.0
2048.5,1.0,8.0,13.0,9.0,16.0,8.0,1.0,6.0,0.0,62.0,108.0
2048.75,1.0,8.0,13.0,8.0,17.0,8.0,2.0,5.0,0.0,62.0,109.0
2049,1.0,8.0,13.0,8.0,17.0,8.0,2.0,5.0,0.0,62.0,110.0
2049.25,0.0,7.0,12.0,7.0,16.0,7.0,1.0,4.0,3.0,57.0,103.0
2049.5,0.0,7.0,13.0,4.0,16.0,7.0,1.0,4.0,3.0,55.0,101.0
2049.75,0.0,9.0,13.0,4.0,16.0,8.0,1.0,8.0,1.0,60.0,105.0
2050,0.0,6.0,12.0,4.0,17.0,8.0,1.0,8.0,1.0,57.0,104.0
sum,34.0,298.0,586.0,255.0,641.0,472.0,160.0,460.0,272.0,0.0,0.0
rank,0.0,4.0,7.0,2.0,8.0,6.0,1.0,5.0,3.0,0.0,0.0
